shop_id,chain_code,chain_name,shop_name,address,lat,lng,payment_tags,source_url
blue-tag-shop-18cd9f5f72,blue-tag,専門料理店,ガラージ製麺所,和歌山県和歌山市十二番丁66サングレース1階　101,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-b25d128b96,blue-tag,スタジオ・撮影,キキフォトワークス株式会社,奈良県生駒郡　安堵町東安堵64-11,,,blue_tag,https://2kiki.com
blue-tag-shop-cb56f9b698,blue-tag,居酒屋・バー,キッチンぼーちゃん,京都府京都市左京区田中野神町6-12,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
epo-69eff14102,blue-tag,クリーニング,クリーニングEPO,広島県広島市中区舟入南2-8-10,,,blue_tag,https://cleaningepo.com
blue-tag-shop-68dbe670c3,blue-tag,カフェ,クレープカメレオン,兵庫県赤穂市加里屋2103-14湯元店舗1号,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-8814d06632,blue-tag,インテリア,クロックショップ　コヨミ,兵庫県神戸市　中央区三宮町１丁目３－４,,,blue_tag,https://secsvr.net/543net.com/index.htm
blue-tag-shop-5539e86f44,blue-tag,その他,クローバー鍼灸院,奈良県大和郡山市筒井町460-15オッシェムロジナ1D,,,blue_tag,https://r.goope.jp/clover0605/about
blue-tag-shop-37a2c1b88c,blue-tag,専門料理店,グリル スターシップ,兵庫県神戸市　中央区元町通５丁目3-14,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-6fe756a506,blue-tag,その他小売り,グリーンアンドストーンショップ　アルカイック,大阪府門真市石原町5-16メゾンあすか102,,,blue_tag,http://www.stoneshop-archaic.com
blue-tag-shop-a8925faffd,blue-tag,美容・理容,コアフュール　まつお,富山県富山市婦中町中名462,,,blue_tag,https://matsuo1058.com/
blue-tag-shop-8a3e1c147d,blue-tag,その他小売り,コウベサコム,兵庫県神戸市　中央区元町通3-10-2コウベサコムビル1F,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
